"title","pub_year","citation","author","conference","pages","publisher","url"
"Energy demand prediction with federated learning for electric vehicle networks","2019","2019 IEEE global communications conference (GLOBECOM), 1-6, 2019","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, Markus Dominik Mueck, Srikathyayani Srikanteswara","2019 IEEE global communications conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9013587/"
"Cyberattack detection in mobile cloud computing: A deep learning approach","2018","2018 IEEE wireless communications and networking conference (WCNC), 1-6, 2018","Khoi Khac Nguyen, Dinh Thai Hoang, Dusit Niyato, Ping Wang, Diep Nguyen, Eryk Dutkiewicz","2018 IEEE wireless communications and networking conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8376973/"
"Collaborative learning model for cyberattack detection systems in iot industry 4.0","2020","2020 IEEE Wireless Communications and Networking Conference (WCNC), 1-6, 2020","Tran Viet Khoa, Yuris Mulya Saputra, Dinh Thai Hoang, Nguyen Linh Trung, Diep Nguyen, Nguyen Viet Ha, Eryk Dutkiewicz","2020 IEEE Wireless Communications and Networking Conference (WCNC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/9120761/"
"Offloading energy efficiency with delay constraint for cooperative mobile edge computing networks","2018","2018 IEEE Global Communications Conference (GLOBECOM), 1-6, 2018","Thai T. Vu, Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","2018 IEEE Global Communications Conference (GLOBECOM)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8647856/"
"Spectrum management and power allocation in MIMO cognitive networks","2012","2012 Proceedings IEEE INFOCOM, 2023-2031, 2012","Diep N. Nguyen, Marwan Krunz","2012 Proceedings IEEE INFOCOM","2023-2031","IEEE","https://ieeexplore.ieee.org/abstract/document/6195583/"
"Metachain: A novel blockchain-based framework for metaverse applications","2022","2022 IEEE 95th Vehicular Technology Conference:(VTC2022-Spring), 1-5, 2022","Cong T. Nguyen, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","2022 IEEE 95th Vehicular Technology Conference:(VTC2022-Spring)","1-5","IEEE","https://ieeexplore.ieee.org/abstract/document/9860983/"
"Time series analysis for encrypted traffic classification: A deep learning approach","2018","2018 18th International Symposium on Communications and Information …, 2018","Ly Vu, Hoang V. Thuy, Quang Uy Nguyen, Tran N. Ngoc, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","2018 18th International Symposium on Communications and Information Technologies (ISCIT)","121-126","IEEE","https://ieeexplore.ieee.org/abstract/document/8587975/"
"Gamified augmented reality training for an assembly task: A study about user engagement","2019","2019 Federated Conference on Computer Science and Information Systems …, 2019","Diep Nguyen, Gerrit Meixner","2019 Federated Conference on Computer Science and Information Systems (FedCSIS)","901-904","IEEE","https://ieeexplore.ieee.org/abstract/document/8860007/"
"Initial trust establishment for personal space IoT systems","2017","2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS …, 2017","Tham Nguyen, Doan Hoang, Diep Nguyen, Aruna Seneviratne","2017 IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS)","784-789","IEEE","https://ieeexplore.ieee.org/abstract/document/8116476/"
"Real-time network slicing with uncertain demand: A deep learning approach","2019","ICC 2019-2019 IEEE International Conference on Communications (ICC), 1-6, 2019","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","ICC 2019-2019 IEEE International Conference on Communications (ICC)","1-6","IEEE","https://ieeexplore.ieee.org/abstract/document/8761907/"
