"title","pub_year","citation","author","journal","volume","number","pages","publisher","url"
"Proof-of-stake consensus mechanisms for future blockchain networks: fundamentals, applications and opportunities","2019","IEEE Access 7, 85727-85745, 2019","Cong T. Nguyen, Dinh Thai Hoang, Diep N. Nguyen, Dusit Niyato, Huynh Tuong Nguyen, Eryk Dutkiewicz","IEEE Access","7","","85727-85745","IEEE","https://ieeexplore.ieee.org/abstract/document/8746079/"
"Enabling technologies for ultra-reliable and low latency communications: From PHY and MAC layer perspectives","2019","IEEE Communications Surveys & Tutorials 21 (3), 2488-2524, 2019","Gordon J. Sutton, Jie Zeng, Ren Ping Liu, Wei Ni, Diep N. Nguyen, Beeshanga A. Jayawickrama, Xiaojing Huang, Mehran Abolhasan, Zhang Zhang, Eryk Dutkiewicz, Tiejun Lv","","21","3","2488-2524","IEEE","https://ieeexplore.ieee.org/abstract/document/8636206/"
"A comprehensive survey of enabling and emerging technologies for social distancing—Part I: Fundamentals and enabling technologies","2020","IEEE Access 8, 153479-153507, 2020","Cong T. Nguyen, Yuris Mulya Saputra, Nguyen Van Huynh, Ngoc-Tan Nguyen, Tran Viet Khoa, Bui Minh Tuan, Diep N. Nguyen, Dinh Thai Hoang, Thang X. Vu, Eryk Dutkiewicz, Symeon Chatzinotas, Björn Ottersten","","8","","153479-153507","IEEE","https://ieeexplore.ieee.org/abstract/document/9172058/"
"Joint adaptation of frequency hopping and transmission rate for anti-jamming wireless systems","2013","Technical Report TR-UA-ECE-2013-3 The University of Arizona, 2013","Manjesh K. Hanawal, Mohammad J. Abdel-Rahman, Diep Nguyen, Marwan Krunz","Technical Report TR-UA-ECE-2013-3 The University of Arizona","","","","https://www.researchgate.net/publication/336932761_Game_Theoretic_Anti-jamming_Dynamic_Frequency_Hopping_and_Rate_Adaptation_in_Wireless_Systems","https://ieeexplore.ieee.org/abstract/document/7300436/"
"Optimal and fast real-time resource slicing with deep dueling neural networks","2019","IEEE Journal on Selected Areas in Communications 37 (6), 1455-1470, 2019","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","IEEE Journal on Selected Areas in Communications","37","6","1455-1470","IEEE","https://ieeexplore.ieee.org/abstract/document/8666109/"
"Enabling and emerging technologies for social distancing: a comprehensive survey and open problems","2020","arXiv preprint arXiv:2005.02816, 2020","Cong T. Nguyen, Yuris Mulya Saputra, Nguyen Van Huynh, Ngoc-Tan Nguyen, Tran Viet Khoa, Bui Minh Tuan, Diep N. Nguyen, Dinh Thai Hoang, Thang X. Vu, Eryk Dutkiewicz, Symeon Chatzinotas, Bjorn Ottersten","","","","","","https://arxiv.org/abs/2005.02816"
"A comprehensive survey of enabling and emerging technologies for social distancing—Part II: Emerging technologies and open issues","2020","IEEE Access 8, 154209-154236, 2020","Cong T. Nguyen, Yuris Mulya Saputra, Nguyen Van Huynh, Ngoc-Tan Nguyen, Tran Viet Khoa, Bui Minh Tuan, Diep N. Nguyen, Dinh Thai Hoang, Thang X. Vu, Eryk Dutkiewicz, Symeon Chatzinotas, Björn Ottersten","","8","","154209-154236","IEEE","https://ieeexplore.ieee.org/abstract/document/9172065/"
"Freezing of gait detection in Parkinson's disease: a subject-independent detector using anomaly scores","2017","IEEE Transactions on Biomedical Engineering 64 (11), 2719-2728, 2017","Thuy T. Pham, Steven T. Moore, Simon John Geoffrey Lewis, Diep N. Nguyen, Eryk Dutkiewicz, Andrew J. Fuglevand, Alistair L. McEwan, Philip HW Leong","IEEE Transactions on Biomedical Engineering","64","11","2719-2728","IEEE","https://ieeexplore.ieee.org/abstract/document/7845616/"
"“jam me if you can:” defeating jammer with deep dueling neural network architecture and ambient backscattering augmented communications","2019","IEEE Journal on Selected Areas in Communications 37 (11), 2603-2620, 2019","Nguyen Van Huynh, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","IEEE Journal on Selected Areas in Communications","37","11","2603-2620","IEEE","https://ieeexplore.ieee.org/abstract/document/8792369/"
"Distributed deep learning at the edge: A novel proactive and cooperative caching framework for mobile edge networks","2019","IEEE Wireless Communications Letters 8 (4), 1220-1223, 2019","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, Dusit Niyato, Dong In Kim","IEEE Wireless Communications Letters","8","4","1220-1223","IEEE","https://ieeexplore.ieee.org/abstract/document/8693954/"
"Enabling ultra-reliable and low-latency communications through unlicensed spectrum","2018","IEEE Network 32 (2), 70-77, 2018","Gordon J. Sutton, Jie Zeng, Ren Ping Liu, Wei Ni, Diep N. Nguyen, Beeshanga A. Jayawickrama, Xiaojing Huang, Mehran Abolhasan, Zhang Zhang","IEEE Network","32","2","70-77","IEEE","https://ieeexplore.ieee.org/abstract/document/8329627/"
"Cooperative MIMO in wireless networks: recent developments and challenges","2013","IEEE Network 27 (4), 48-54, 2013","Diep N. Nguyen, Marwan Krunz","IEEE Network","27","4","48-54","IEEE","https://ieeexplore.ieee.org/abstract/document/6574665/"
"Learning latent representation for iot anomaly detection","2020","IEEE Transactions on Cybernetics 52 (5), 3769-3782, 2020","Ly Vu, Quang Uy Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","IEEE Transactions on Cybernetics","52","5","3769-3782","IEEE","https://ieeexplore.ieee.org/abstract/document/9199886/"
"Game theoretic anti-jamming dynamic frequency hopping and rate adaptation in wireless systems","2013","Technical Report TR-UA-ECE-2013-3 The University of Arizona, 247-254, 2013","Manjesh K. Hanawal, Mohammad J. Abdel-Rahman, D. Nguyen, Marwan Krunz","","","","247-254","IEEE","https://ieeexplore.ieee.org/abstract/document/6850306/"
"Deep transfer learning for IoT attack detection","2020","IEEE Access 8, 107335-107344, 2020","Ly Vu, Quang Uy Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","IEEE Access","8","","107335-107344","IEEE","https://ieeexplore.ieee.org/abstract/document/9110582/"
"Joint power control and user association for NOMA-based full-duplex systems","2019","IEEE Transactions on Communications 67 (11), 8037-8055, 2019","Hieu V. Nguyen, Van-Dinh Nguyen, Octavia A. Dobre, Diep N. Nguyen, Eryk Dutkiewicz, Oh-Soon Shin","IEEE Transactions on Communications","67","11","8037-8055","IEEE","https://ieeexplore.ieee.org/abstract/document/8788625/"
"A dynamic edge caching framework for mobile 5G networks","2018","IEEE Wireless Communications 25 (5), 95-103, 2018","Dinh Thai Hoang, Dusit Niyato, Diep N. Nguyen, Eryk Dutkiewicz, Ping Wang, Zhu Han","IEEE Wireless Communications","25","5","95-103","IEEE","https://ieeexplore.ieee.org/abstract/document/8443597/"
"Transfer learning for wireless networks: A comprehensive survey","2022","Proceedings of the IEEE, 2022","Cong T. Nguyen, Nguyen Van Huynh, Nam H. Chu, Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Quoc-Viet Pham, Dusit Niyato, Eryk Dutkiewicz, Won-Joo Hwang","","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9789336/"
"Cognitive networks with in-band full-duplex radios: Jamming attacks and countermeasures","2019","IEEE Transactions on Cognitive Communications and Networking 6 (1), 296-309, 2019","Manjesh K. Hanawal, Diep N. Nguyen, Marwan Krunz","IEEE Transactions on Cognitive Communications and Networking","6","1","296-309","IEEE","https://ieeexplore.ieee.org/abstract/document/8790787/"
"Optimal and low-complexity dynamic spectrum access for RF-powered ambient backscatter system with online reinforcement learning","2019","IEEE Transactions on Communications 67 (8), 5736-5752, 2019","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz, Dusit Niyato, Ping Wang","IEEE Transactions on Communications","67","8","5736-5752","IEEE","https://ieeexplore.ieee.org/abstract/document/8703118/"
"A cooperative MIMO framework for wireless sensor networks","2014","ACM Transactions on Sensor Networks (TOSN) 10 (3), 1-28, 2014","Diep N. Nguyen, Marwan Krunz","ACM Transactions on Sensor Networks (TOSN)","10","3","1-28","ACM","https://dl.acm.org/doi/abs/10.1145/2499381"
"A novel mobile edge network architecture with joint caching-delivering and horizontal cooperation","2019","IEEE Transactions on Mobile Computing 20 (1), 19-31, 2019","Yuris Mulya Saputra, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","IEEE Transactions on Mobile Computing","20","1","19-31","IEEE","https://ieeexplore.ieee.org/abstract/document/8821308/"
"Swarm intelligence for next-generation networks: Recent advances and applications","2021","Journal of Network and Computer Applications 191, 103141, 2021","Quoc-Viet Pham, Dinh C. Nguyen, Seyedali Mirjalili, Dinh Thai Hoang, Diep N. Nguyen, Pubudu N. Pathirana, Won-Joo Hwang","","191","","103141","Academic Press","https://www.sciencedirect.com/science/article/pii/S1084804521001582"
"Sensing OFDM signal: A deep learning approach","2019","IEEE Transactions on Communications 67 (11), 7785-7798, 2019","Qingqing Cheng, Zhenguo Shi, Diep N. Nguyen, Eryk Dutkiewicz","IEEE Transactions on Communications","67","11","7785-7798","IEEE","https://ieeexplore.ieee.org/abstract/document/8827563/"
"Price-based joint beamforming and spectrum management in multi-antenna cognitive radio networks","2012","IEEE Journal on Selected Areas in Communications 30 (11), 2295-2305, 2012","Diep N. Nguyen, Marwan Krunz","IEEE Journal on Selected Areas in Communications","30","11","2295-2305","IEEE","https://ieeexplore.ieee.org/abstract/document/6354287/"
"Power minimization in MIMO cognitive networks using beamforming games","2013","IEEE Journal on Selected Areas in Communications 31 (5), 916-925, 2013","Diep N. Nguyen, Marwan Krunz","IEEE Journal on Selected Areas in Communications","31","5","916-925","IEEE","https://ieeexplore.ieee.org/abstract/document/6502486/"
"Optimal energy efficiency with delay constraints for multi-layer cooperative fog computing networks","2021","IEEE Transactions on Communications 69 (6), 3911-3929, 2021","Thai T. Vu, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz, Thuy V. Nguyen","IEEE Transactions on Communications","69","6","3911-3929","IEEE","https://ieeexplore.ieee.org/abstract/document/9371744/"
"Subject-independent ERP-based brain–computer interfaces","2018","IEEE Transactions on Neural Systems and Rehabilitation Engineering 26 (4 …, 2018","Kha Vo, Thuy Pham, Diep N. Nguyen, Ha Hoang Kha, Eryk Dutkiewicz","IEEE Transactions on Neural Systems and Rehabilitation Engineering","26","4","719-728","IEEE","https://ieeexplore.ieee.org/abstract/document/8304676/"
"Clustering and power management for virtual MIMO communications in wireless sensor networks","2013","Ad Hoc Networks 11 (5), 1571-1587, 2013","Marwan Krunz, Mohammad Z. Siam, Diep N. Nguyen","Ad Hoc Networks","11","5","1571-1587","Elsevier","https://www.sciencedirect.com/science/article/pii/S157087051200220X"
"Federated learning meets contract theory: Economic-efficiency framework for electric vehicle networks","2020","IEEE Transactions on Mobile Computing 21 (8), 2803-2817, 2020","Yuris Mulya Saputra, Diep N. Nguyen, Dinh Thai Hoang, Thang X. Vu, Eryk Dutkiewicz, Symeon Chatzinotas","IEEE Transactions on Mobile Computing","21","8","2803-2817","IEEE","https://ieeexplore.ieee.org/abstract/document/9300192/"
"Acupuncture and its role in the treatment of migraine headaches","2020","Neurology and therapy 9, 375-394, 2020","Ivan Urits, Megha Patel, Mary Elizabeth Putz, Nikolas R. Monteferrante, Diep Nguyen, Daniel An, Elyse M. Cornett, Jamal Hasoon, Alan D. Kaye, Omar Viswanath","","9","","375-394","Springer Healthcare","https://link.springer.com/article/10.1007/s40120-020-00216-1"
"Friendly jamming in a MIMO wiretap interference network: A nonconvex game approach","2017","IEEE Journal on Selected Areas in Communications 35 (3), 601-614, 2017","Peyman Siyari, Marwan Krunz, Diep N. Nguyen","IEEE Journal on Selected Areas in Communications","35","3","601-614","IEEE","https://ieeexplore.ieee.org/abstract/document/7835213/"
"Machine learning-enabled joint antenna selection and precoding design: From offline complexity to online performance","2021","IEEE Transactions on Wireless Communications 20 (6), 3710-3722, 2021","Thang X. Vu, Symeon Chatzinotas, Van-Dinh Nguyen, Dinh Thai Hoang, Diep N. Nguyen, Marco Di Renzo, Björn Ottersten","IEEE Transactions on Wireless Communications","20","6","3710-3722","IEEE","https://ieeexplore.ieee.org/abstract/document/9337188/"
"Efficient zero-forcing precoder design for weighted sum-rate maximization with per-antenna power constraint","2017","IEEE Transactions on Vehicular Technology 67 (4), 3640-3645, 2017","Thuy M. Pham, Ronan Farrell, John Dooley, Eryk Dutkiewicz, Diep N. Nguyen, Le-Nam Tran","IEEE Transactions on Vehicular Technology","67","4","3640-3645","IEEE","https://ieeexplore.ieee.org/abstract/document/8118138/"
"Full-duplex MIMO radios: A greener networking solution","2018","IEEE Transactions on Green Communications and Networking 2 (3), 652-665, 2018","Diep N. Nguyen, Marwan Krunz, Eryk Dutkiewicz","IEEE Transactions on Green Communications and Networking","2","3","652-665","IEEE","https://ieeexplore.ieee.org/abstract/document/8403261/"
"Ambient backscatter: A novel method to defend jamming attacks for wireless networks","2019","IEEE Wireless Communications Letters 9 (2), 175-178, 2019","Nguyen Van Huynh, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz, Markus Mueck","IEEE Wireless Communications Letters","9","2","175-178","IEEE","https://ieeexplore.ieee.org/abstract/document/8869911/"
""" Borrowing Arrows with Thatched Boats"": The Art of Defeating Reactive Jammers in IoT Networks","2020","IEEE Wireless Communications 27 (3), 79-87, 2020","Dinh Thai Hoang, Diep N. Nguyen, Mohammad Abu Alsheikh, Shimin Gong, Eryk Dutkiewicz, Dusit Niyato, Zhu Han","IEEE Wireless Communications","27","3","79-87","IEEE","https://ieeexplore.ieee.org/abstract/document/9116092/"
"Deep learning network based spectrum sensing methods for OFDM systems","2018","arXiv preprint arXiv:1807.09414, 2018","Qingqing Cheng, Zhenguo Shi, Diep N. Nguyen, Eryk Dutkiewicz","arXiv preprint arXiv:1807.09414","","","","","https://arxiv.org/abs/1807.09414"
"Distributed power control in single-stream MIMO wiretap interference networks with full-duplex jamming receivers","2018","IEEE Transactions on Signal Processing 67 (3), 594-608, 2018","Peyman Siyari, Marwan Krunz, Diep N. Nguyen","IEEE Transactions on Signal Processing","67","3","594-608","IEEE","https://ieeexplore.ieee.org/abstract/document/8543667/"
"Energy-efficient spectrum sensing for IoT devices","2020","IEEE Systems Journal 15 (1), 1077-1085, 2020","Nhu-Ngoc Dao, Woongsoo Na, Anh-Tien Tran, Diep N. Nguyen, Sungrae Cho","IEEE Systems Journal","15","1","1077-1085","IEEE","https://ieeexplore.ieee.org/abstract/document/9079930/"
"On design of protograph LDPC codes for large-scale MIMO systems","2020","IEEE Access 8, 46017-46029, 2020","Hieu D. Vu, Thuy V. Nguyen, Diep N. Nguyen, Hieu T. Nguyen","IEEE Access","8","","46017-46029","IEEE","https://ieeexplore.ieee.org/abstract/document/9026873/"
"DeepFake: Deep dueling-based deception strategy to defeat reactive jammers","2021","IEEE Transactions on Wireless Communications 20 (10), 6898-6914, 2021","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","IEEE Transactions on Wireless Communications","20","10","6898-6914","IEEE","https://ieeexplore.ieee.org/abstract/document/9432815/"
"Development of 3-DOF force feedback system using spherical arm mechanism and MR brakes","2020","International Journal of Mechanical Engineering and Robotics Research 9 (2 …, 2020","Hung Q. Nguyen, Thang D. Le, Diep N. Nguyen, Tuan D. Le, Thang V. Lang, TV Ngo","International Journal of Mechanical Engineering and Robotics Research","9","2","170-176","","https://scholar.google.com/scholar?cluster=6720561385081559675&hl=en&oi=scholarr"
"Dynamic federated learning-based economic framework for internet-of-vehicles","2021","IEEE Transactions on Mobile Computing, 2021","Yuris Mulya Saputra, Hoang Thai Dinh, Diep Nguyen, Le-Nam Tran, Shimin Gong, Eryk Dutkiewicz","IEEE Transactions on Mobile Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9585537/"
"Performance analysis of protograph LDPC codes over large-scale MIMO channels with low-resolution ADCs","2019","IEEE Access 7, 145145-145160, 2019","Thuy V. Nguyen, Hieu D. Vu, Diep N. Nguyen, Hieu T. Nguyen","IEEE Access","7","","145145-145160","IEEE","https://ieeexplore.ieee.org/abstract/document/8853252/"
"Metaslicing: A novel resource allocation framework for metaverse","2022","arXiv preprint arXiv:2205.11087, 2022","Nam H. Chu, Dinh Thai Hoang, Diep N. Nguyen, Khoa T. Phan, Eryk Dutkiewicz","arXiv preprint arXiv:2205.11087","","","","","https://arxiv.org/abs/2205.11087"
"Solving the k-dominating set problem on very large-scale networks","2020","Computational Social Networks 7, 1-15, 2020","Minh Hai Nguyen, Minh Hoàng Hà, Diep N. Nguyen, The Trung Tran","Computational Social Networks","7","","1-15","Springer International Publishing","https://link.springer.com/article/10.1186/s40649-020-00078-5"
"Leveraging secondary reflections and mitigating interference in multi-IRS/RIS aided wireless network","2022","IEEE Transactions on Wireless Communications, 2022","Tu V. Nguyen, Diep N. Nguyen, Marco Di Renzo, Rui Zhang","IEEE Transactions on Wireless Communications","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9852985/"
"Optimal beam association for high mobility mmwave vehicular networks: Lightweight parallel reinforcement learning approach","2021","IEEE Transactions on Communications 69 (9), 5948-5961, 2021","Nguyen Van Huynh, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","IEEE Transactions on Communications","69","9","5948-5961","IEEE","https://ieeexplore.ieee.org/abstract/document/9450837/"
"Time scheduling and energy trading for heterogeneous wireless-powered and backscattering-based IoT networks","2021","IEEE Transactions on Wireless Communications 20 (10), 6835-6851, 2021","Ngoc-Tan Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Nguyen Van Huynh, Eryk Dutkiewicz, Nam-Hoang Nguyen, Quoc-Tuan Nguyen","IEEE Transactions on Wireless Communications","20","10","6835-6851","IEEE","https://ieeexplore.ieee.org/abstract/document/9427058/"
"Blockroam: Blockchain-based roaming management system for future mobile networks","2021","IEEE Transactions on Mobile Computing 21 (11), 3880-3894, 2021","Cong T. Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Hoang-Anh Pham, Nguyen Huynh Tuong, Yong Xiao, Eryk Dutkiewicz","IEEE Transactions on Mobile Computing","21","11","3880-3894","IEEE","https://ieeexplore.ieee.org/abstract/document/9376903/"
"Energy-efficient dual-hop internet of things communications network with delay-outage constraints","2020","IEEE Transactions on Industrial Informatics 17 (7), 4892-4903, 2020","Khoa T. Phan, Phat Huynh, Diep N. Nguyen, Duy T. Ngo, Yi Hong, Tho Le-Ngoc","IEEE Transactions on Industrial Informatics","17","7","4892-4903","IEEE","https://ieeexplore.ieee.org/abstract/document/9210192/"
"Trust-based scheduling framework for big data processing with MapReduce","2019","IEEE Transactions on Services Computing 15 (1), 279-293, 2019","Thanh Dat Dang, Doan Hoang, Diep N. Nguyen","IEEE Transactions on Services Computing","15","1","279-293","IEEE","https://ieeexplore.ieee.org/abstract/document/8823036/"
"A profiling analysis of contributions of cigarette smoking, dietary calcium intakes, and physical activity to fragility fracture in the elderly","2018","Scientific Reports 8 (1), 1-9, 2018","Thuy T. Pham, Diep N. Nguyen, Eryk Dutkiewicz, Jacqueline R. Center, John A. Eisman, Tuan V. Nguyen","Scientific Reports","8","1","1-9","Nature Publishing Group","https://link.springer.com/content/pdf/10.1038/s41598-018-28660-y.pdf"
"In-network computation for large-scale federated learning over wireless edge networks","2022","IEEE Transactions on Mobile Computing, 2022","Thinh Quang Dinh, Diep N. Nguyen, Dinh Thai Hoang, Tran Vu Pham, Eryk Dutkiewicz","IEEE Transactions on Mobile Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9831099/"
"Defeating super-reactive jammers with deception strategy: Modeling, signal detection, and performance analysis","2022","IEEE Transactions on Wireless Communications 21 (9), 7374-7390, 2022","Nguyen Van Huynh, Diep N. Nguyen, Dinh Thai Hoang, Thang X. Vu, Eryk Dutkiewicz, Symeon Chatzinotas","IEEE Transactions on Wireless Communications","21","9","7374-7390","IEEE","https://ieeexplore.ieee.org/abstract/document/9737032/"
"Joint speed control and energy replenishment optimization for UAV-assisted IoT data collection with deep reinforcement transfer learning","2022","IEEE Internet of Things Journal, 2022","Nam H. Chu, Dinh Thai Hoang, Diep N. Nguyen, Nguyen Van Huynh, Eryk Dutkiewicz","IEEE Internet of Things Journal","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9712630/"
"Joint coding and scheduling optimization for distributed learning over wireless edge networks","2021","IEEE Journal on Selected Areas in Communications 40 (2), 484-498, 2021","Nguyen Van Huynh, Dinh Thai Hoang, Diep N. Nguyen, Eryk Dutkiewicz","IEEE Journal on Selected Areas in Communications","40","2","484-498","IEEE","https://ieeexplore.ieee.org/abstract/document/9563062/"
"AI in the intensive care unit: up-to-date review","2021","Journal of Intensive Care Medicine 36 (10), 1115-1123, 2021","Diep Nguyen, Brandon Ngo, Eric vanSonnenberg","","36","10","1115-1123","SAGE Publications","https://journals.sagepub.com/doi/pdf/10.1177/0885066620956620"
"Suppression of multiple spatially correlated jammers","2021","IEEE Transactions on Vehicular Technology 70 (10), 10489-10500, 2021","Linh Manh Hoang, J. Andrew Zhang, Diep N. Nguyen, Xiaojing Huang, Asanka Kekirigoda, Kin-Ping Hui","IEEE Transactions on Vehicular Technology","70","10","10489-10500","IEEE","https://ieeexplore.ieee.org/abstract/document/9527146/"
"Preserving honest/dishonest users’ operational privacy with blind interference calculation in spectrum sharing system","2019","IEEE Transactions on Mobile Computing 19 (12), 2874-2890, 2019","Qingqing Cheng, Diep N. Nguyen, Eryk Dutkiewicz, Markus Mueck","IEEE Transactions on Mobile Computing","19","12","2874-2890","IEEE","https://ieeexplore.ieee.org/abstract/document/8807250/"
"Power games for secure communications in single-stream MIMO interference networks","2018","IEEE Transactions on Wireless Communications 17 (9), 5759-5773, 2018","Peyman Siyari, Marwan Krunz, Diep N. Nguyen","IEEE Transactions on Wireless Communications","17","9","5759-5773","IEEE","https://ieeexplore.ieee.org/abstract/document/8396272/"
"Negotiable auction based on mixed graph: A novel spectrum sharing framework","2017","IEEE Transactions on Cognitive Communications and Networking 3 (3), 390-403, 2017","Huiyang Wang, Diep N. Nguyen, Eryk Dutkiewicz, Gengfa Fang, Markus Dominik Mueck","IEEE Transactions on Cognitive Communications and Networking","3","3","390-403","IEEE","https://ieeexplore.ieee.org/abstract/document/7994693/"
"Deep transfer learning: A novel collaborative learning model for cyberattack detection systems in IoT networks","2022","IEEE Internet of Things Journal, 2022","Tran Viet Khoa, Dinh Thai Hoang, Nguyen Linh Trung, Cong T. Nguyen, Tran Thi Thuy Quynh, Diep N. Nguyen, Nguyen Viet Ha, Eryk Dutkiewicz","IEEE Internet of Things Journal","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9868083/"
"Secure swarm UAV-assisted communications with cooperative friendly jamming","2022","IEEE Internet of Things Journal 9 (24), 25596-25611, 2022","Hanh Dang-Ngoc, Diep N. Nguyen, Khuong Ho-Van, Dinh Thai Hoang, Eryk Dutkiewicz, Quoc-Viet Pham, Won-Joo Hwang","IEEE Internet of Things Journal","9","24","25596-25611","IEEE","https://ieeexplore.ieee.org/abstract/document/9854848/"
"Hcfl: A high compression approach for communication-efficient federated learning in very large scale iot networks","2022","IEEE Transactions on Mobile Computing, 2022","Minh-Duong Nguyen, Sang-Min Lee, Quoc-Viet Pham, Dinh Thai Hoang, Diep N. Nguyen, Won-Joo Hwang","IEEE Transactions on Mobile Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/9829327/"
"A new perspective on small-scale treatment systems for arsenic affected groundwater","2021","Environmental Technology & Innovation 23, 101780, 2021","Hung C. Duong, Lan TT Tran, Minh T. Vu, Diep Nguyen, Nga TV Tran, Long D. Nghiem","","23","","101780","Elsevier","https://www.sciencedirect.com/science/article/pii/S2352186421004284"
"Protuberant Electrode Structures for Subretinal Electrical Stimulation: Modeling, Fabrication and in vivo Evaluation","2019","Frontiers in Neuroscience 13, 885, 2019","Pedro González Losada, Lionel Rousseau, Marjorie Grzeskowiak, Manon Valet, Diep Nguyen, Julie Dégardin, Elisabeth Dubus, Serge Picaud, Gaelle Lissorgues","Frontiers in Neuroscience","13","","885","Frontiers Media SA","https://www.frontiersin.org/articles/10.3389/fnins.2019.00885/full"
"Distributed Bargaining Mechanisms for MIMO Dynamic Spectrum Access Systems","2015","IEEE Transactions on Cognitive Communications and Networking 1 (1), 113-127, 2015","Diep N. Nguyen, Marwan Krunz, Stephen V. Hanly","IEEE Transactions on Cognitive Communications and Networking","1","1","113-127","IEEE","https://ieeexplore.ieee.org/abstract/document/7312950/"
"Deep generative learning models for cloud intrusion detection systems","2022","IEEE Transactions on Cybernetics 53 (1), 565-577, 2022","Ly Vu, Quang Uy Nguyen, Diep N. Nguyen, Dinh Thai Hoang, Eryk Dutkiewicz","IEEE Transactions on Cybernetics","53","1","565-577","IEEE","https://ieeexplore.ieee.org/abstract/document/9760282/"
"Quadrature broadband phase shift generation using passive RC polyphase filter for RF front-end","2016","2016 16th International Symposium on Communications and Information …, 2016","Meriam Gay Bautista, Eryk Dutkiewicz, Xiaojing Huang, Diep Nguyen, Forest Zhu","","","","597-601","IEEE","https://ieeexplore.ieee.org/abstract/document/7751702/"
"Unmanned air systems","2012","Gps World 23 (3), 10-16, 2012","Alison K. Brown, Dien Nguyen, Paige Felker, Glenn Colby, Frank Allen","Gps World","23","3","10-16","Advanstar Communications, Inc., 131 W. First St. Duluth MN 55802 United States","https://scholar.google.com/scholar?cluster=2452796287354802959&hl=en&oi=scholarr"
"Fedchain: Secure proof-of-stake-based framework for federated-blockchain systems","2023","IEEE Transactions on Services Computing, 2023","Cong T. Nguyen, Dinh Thai Hoang, Diep N. Nguyen, Yong Xiao, Hoang-Anh Pham, Eryk Dutkiewicz, Nguyen Huynh Tuong","IEEE Transactions on Services Computing","","","","IEEE","https://ieeexplore.ieee.org/abstract/document/10027472/"
"EEG peak detection in cognitive conflict processing using summit navigator and clustering-based ranking","2022","IEEE Transactions on Neural Systems and Rehabilitation Engineering 30, 1548-1556, 2022","Tran Hiep Dinh, Avinash Kumar Singh, Nguyen Linh Trung, Diep N. Nguyen, Chin-Teng Lin","IEEE Transactions on Neural Systems and Rehabilitation Engineering","30","","1548-1556","IEEE","https://ieeexplore.ieee.org/abstract/document/9785809/"
"Analog-Domain Suppression of Strong Interference Using Hybrid Antenna Array","2022","Sensors 22 (6), 2417, 2022","Kai Wu, J. Andrew Zhang, Xiaojing Huang, Y. Jay Guo, Diep N. Nguyen, Asanka Kekirigoda, Kin-Ping Hui","Sensors","22","6","2417","MDPI","https://www.mdpi.com/1552076"
"Customized Gamification Design in Augmented Reality Training for Manual Assembly Task","2020","no. c, 443-446, 2020","Diep Nguyen, Gerrit Meixner","no. c","","","443-446","","http://personales.upv.es/thinkmind/dl/conferences/achi/achi_2020/achi_2020_5_520_20201.pdf"
"A survey of gamified Augmented Reality systems for procedural tasks in industrial settings","2020","IFAC-PapersOnLine 53 (2), 10096-10100, 2020","Diep Nguyen, Gerrit Meixner","IFAC-PapersOnLine","53","2","10096-10100","Elsevier","https://www.sciencedirect.com/science/article/pii/S2405896320334960"
